discipline,rank,school_name,school_url,student_faculty_ratio,grad_rate,retention_rate,accept_rate,enroll_rate,aid_rate,default_rate,description,street_address,city,state,zip,website,program_page,logo_url
IT,24,Campbell University,http://www.campbell.edu,16 to 1,40%,72%,68%,19%,75%,5%,"CU offers a fully online bachelor's degree in information technology security in accelerated eight-week terms. Coursework blends technical components of information architecture and computer programming with a liberal arts general education core. The private Christian university in Buies Creek, North Carolina, consulted industry experts to design a curriculum that meets the needs of aspiring network administrators and security information technology specialists. Faculty members provide personalized instruction through a flexible, asynchronous online classroom. The 124-credit program requires a senior project. CU accepts up to 64 transfer credits and offers credit for military training. Students must earn at least 31 credits from Campbell, 12 of which must comprise upper-level major courses. Online programs offer five start dates per year.",450 Leslie Campbell Ave,Buies Creek,NC,27506,http://www.campbell.edu,https://online.campbell.edu/academics/bachelor-programs/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475851678/logos/campbell-university.png"
IT,25,City University of Seattle,http://www.cityu.edu,11 to 1,20%,80%,100%,35%,50%,6.2%,"CityU offers a flexible online bachelor's degree in information technology that full-time students complete in as few as two and a half years. Applicants do not need significant experience in technology or computer science. The curriculum covers the latest technological advances and provides technical skills. Students also develop leadership and project management skills and business ethics. The 180 required credits include courses in cybercrime, human-computer interaction, and systems analysis. Many required courses prepare students for industry certifications. A required capstone course involves exams, presentations, and written work. Students complete all coursework online at their own pace. Though students learn in a virtual environment, assignments provide relevant, hands-on experiences. CityU accepts transfer credit and offers credit for military and professional training.","521 Wall Street, Suite 100",Seattle,WA,98121,http://www.cityu.edu,http://www.cityu.edu/programs-overview/bachelor-science-information-technology/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475851692/logos/city-university-of-seattle.png"
Marketing,1,Cleary University,http://www.cleary.edu,12 to 1,47%,72%,79%,72%,76%,7.4%,"Cleary University focuses on business degrees, offering associate, bachelor’s, and master’s programs in business administration. Its BBA in marketing is a 120-credit, online marketing degree that can be completed by full-time students in four years. The program includes courses in business foundations, communications, management, and marketing, and distance learners conclude the program by completing a professional project. Students can utilize elective credits to take career development courses. Resume assistance, mock interviews, and career search tips are also available to distance learners. New online students can complete an online orientation to learn about additional services, such as academic support and technology assistance. The orientation also involves a required one-credit course that familiarizes students with the library, academic policies, and Moodle learning management system. All undergraduate students are charged the same tuition, regardless of their residency. Additionally, the university’s block pricing allows students to take between 12 and 18 credits during the semester for the same tuition.",3750 Cleary Drive,Howell,MI,48843,http://www.cleary.edu,http://www.cleary.edu/programs/,
Marketing,2,Mount Vernon Nazarene University,http://www.mvnu.edu,14 to 1,46%,82%,75%,40%,71%,6.5%,"The BBA at Mount Vernon Nazarene University’s graduate and professional studies school has four available majors, including marketing. This program prepares graduates for roles in sales, marketing management, and promotion. The major requires a 40-credit business core and 15 additional credits in marketing. MVNU admission requirements stipulate that students must have at least 56 transferable credits to enter the program, or they must earn credits by completing the college’s associate of arts program before progressing into the BBA program. Transfer applicants should have a minimum cumulative GPA of 2.0, and students must have earned a C- or better in their previous classes to transfer to MVNU. Distance learners can also receive credit for prior learning in the form of work experiences, professional training, and/or exams. The tuition for the online bachelor's degree in marketing program is charged per credit hour, and students can graduate in as little as 15 months. In addition to online programs, there are four brick and mortar locations in Ohio where students can take classes.",800 Martinsburg Rd,Mount Vernon,OH,43050-9500,http://www.mvnu.edu,https://www.mvnu.edu/gps/undergraduateprograms/bachelorofbusinessadministration,
Marketing,3,Huntington University,http://www.huntington.edu,12 to 1,50%,86%,97%,30%,73%,3.9%,"The BS in marketing at Huntington University is offered on campus at two Indiana locations as well as entirely online. The university requires students to complete 128 credits to earn this degree, including 51 credits in marketing, 40 credits in general education, and 37 elective credits. Marketing degree online courses include education in public relations, social media, group behavior, and ethics. Through a business capstone course, marketing students work on a real-world marketing issue and develop a report that demonstrates their learned research, writing, and presentation skills. This capstone also prepares students for the type of work they might encounter in graduate programs. Online courses begin every five weeks and are offered asynchronously. Transfer applicants with more than 24 credits from a regionally-accredited university do not need to submit high school transcripts. All adult students in this program pay the same per-credit tuition. Additionally, more than 90% of Huntington students receive financial assistance through scholarships and other types of aid.",2303 College Ave,Huntington,IN,46750,http://www.huntington.edu,https://www.huntington.edu/adult-degree-programs/programs/marketing,
Marketing,4,Dallas Baptist University,http://www.dbu.edu,13 to 1,41%,72%,46%,38%,63%,7.8%,"Dallas Baptist University offers a number of online certificates and degrees, all of which are accessible through the Blackboard learning management system. Undergraduate online programs include associate and bachelor’s degrees, including a BBA in marketing . This online marketing bachelor's degree requires the completion of 120 credit hours, featuring 33 business core credits and 30 marketing credits. DBU also offers a 120-credit BBS in marketing online. To apply, prospective first-year students must submit their application with an essay, high school transcripts, and standardized test scores. Transfer applicants must also submit their college transcripts. The university’s admission requirements include a minimum GPA of 2.5, and some programs may require minimum test scores. Students who do not meet these standards may be accepted probationally. DBU may also award course credit for corporate training and/or military experience. Financial aid, scholarships, and payment plans are available to distance learners, and all students pay the same per-credit undergraduate tuition.",3000 Mountain Creek Parkway,Dallas,TX,75211-9299,http://www.dbu.edu,http://www3.dbu.edu/business/marketing_cr.asp,
Marketing,5,Malone University,http://www.malone.edu,12 to 1,47%,70%,71%,32%,74%,5.4%,"Malone University is located in Canton, Ohio. However, students across the country can take advantage of the school’s BA in organizational management and marketing management , which is an online accelerated degree program. The organizational management major requires 36 credit hours, and marketing management is a secondary major that requires four additional marketing courses. Through this adult degree-completion program, students can complete their online marketing degree in as little as 12 months, and every student creates a personalized course of study to guide them to graduation. The program is delivered asynchronously through the Moodle learning management system, which offers 24/7 technology assistance. This adult degree-completion program boasts an 80% graduation rate. Students are also encouraged to use the Malone Management Mentor Network (M3N), which provides distance learners with advice and encouragement. Online organizational management students are charged the same per-credit rate as on-campus students, and financial aid and payment plans are available.",2600 Cleveland Avenue NW,Canton,OH,44709-3308,http://www.malone.edu,https://www.malone.edu/academics/adult-degree-completion/accelerated-degree-in-management/,
Marketing,6,Indiana Wesleyan University-Marion,http://www.indwes.edu,16 to 1,69%,84%,95%,45%,70%,6.5%,"The BS in marketing at Indiana Wesleyan University can be completed entirely online, and major-related courses can be completed in as few as 12 months. The marketing program has four specialization options: marketing analytics; digital advertising, promotions, and branding; service and nonprofit marketing; and social media. Each specialization includes four courses, which are completed in addition to eight core marketing courses. Students generally take two courses at a time in a cohort format. Applicants to this online bachelor's degree in marketing program should have at least 60 transferable college credits. Students are charged per-credit, and the university determines the entire cost of the program, including books and fees, before a student enrolls. Once the total cost is established it is split into several payments and students are automatically mailed their books each term. Financial aid is available in the form of grants, loans, scholarships, and veteran benefits.",4201 South Washington Street,Marion,IN,46953-4974,http://www.indwes.edu,https://www.indwes.edu/adult-graduate/bs-marketing/,
Marketing,7,Pennsylvania State University-Main Campus,http://www.psu.edu/,17 to 1,65%,93%,50%,32%,50%,7.3%,"Prospective marketing professionals interested in working for nonprofits, in the public sector, or for service and manufacturing industries may want to consider earning a BS in marketing from Pennsylvania State University. This 120-credit degree includes marketing and general education courses as well as electives. Courses in marketing principles, strategy, and research complement business classes that focus on business writing, management, and finance. Online marketing bachelor's degree students also complete a capstone project. Applicants can begin the program in the fall, spring, or summer terms. Application deadlines are June 30 for the fall, October 31 for the spring, and March 15 for the summer. Prospective students can apply as first-time freshmen or transfer students; to directly transfer into their major, a student must have completed more than 27.1 credits with a minimum GPA of 2.0 in eight required courses. Online classes are delivered asynchronously, and students receive support from academic advisors and a tech support staff.",201 Old Main,University Park,PA,16802-1503,http://www.psu.edu/,http://www.worldcampus.psu.edu/degrees-and-certificates/penn-state-online-marketing-bachelors-degree/overview,
Marketing,8,University of Massachusetts-Amherst,http://www.umass.edu,17 to 1,54%,90%,61%,20%,60%,4.9%,"Graduates of the University of Massachusett-Amherst’s BBA in marketing have gone on to find employment at Target, Black and Decker, GlaxoSmithKline, and the Environmental Defense Fund, among may other organizations. The school’s online marketing degree program offers courses asynchronously, and students can access their undergraduate academic advisors through an online appointment system. An online resource center also offers a virtual meeting space, study tips, and other academic resources. All online business students are charged the same per-credit tuition regardless of their residency, and the undergraduate scholarship program awards over $450,000 in funds each year. This marketing degree consists of 120 credits, 45 of which must be completed at UMass Amherst. Coursework includes general education, core management, elective, and marketing major classes. Students can choose electives from areas such as sport management, hospitality and tourism, and accounting. The priority deadline for fall admission is May 1, with students accepted through June 1. Alternatively, the priority deadline for spring is October 1, with students accepted through November 1.",374 Whitmore Building 181 Presidents Drive,Amherst,MA,1003,http://www.umass.edu,https://www.isenberg.umass.edu/programs/undergraduate/online/majors/marketing,
Marketing,9,Bushnell University,https://www.bushnell.edu/,15 to 1,33%,70%,71%,30%,81%,5.2%,"Bushnell University offers degree-completion programs online and on campus one night per week. The school features a 12-to-one student-to-faculty ratio and offers seven degrees, including a BS in business administration . Courses start every eight weeks, with six terms offered per year, and students can begin the program at the start of any term. Online students located near the campus in Eugene, Oregon can combine online coursework with face-to-face instruction. There are nine required courses in this major. Students also choose three additional classes from options such as marketing research; consumer behavior; and branding, advertising, and promotion. Students interested in earning this marketing bachelor's degree online should submit their application and college transcripts. High school transcripts are also required of any student who has earned less than 12 college credits. Distance learners with significant work and life experiences may be able to earn up to 30 credits through the school’s prior learning assessment program. While admission to BU typically requires a GPA of at least 2.0, individuals with lower grades may be accepted through conditional admission.",828 E. 11th Ave.,Eugene,OR,97401-3745,https://www.bushnell.edu/,https://www.bushnell.edu/,
Marketing,10,Liberty University,http://www.liberty.edu,18 to 1,24%,69%,22%,46%,66%,7.5%,"The BS in business administration at Liberty University is offered entirely online. This program requires students to complete 120 credits, and learners can customize their business administration degree by choosing a cognate related to the marketing field. Available cognates include marketing analytics, digital marketing and advertising, marketing: sales management and professional selling, and strategic marketing management. Each of these cognates feature 12 concentration-specific credits, which are earned in addition to the 39 core business administration credits. This online bachelor's degree in marketing offers eight-week courses with eight different start dates throughout the year. Transfer students should have a minimum 2.0 GPA, and individuals can transfer up to 90 credits towards their degree. Liberty may also award transfer credit based on exams, portfolios, military training, and/or professional experience. Tuition is charged per-credit, and full-time students pay slightly lower tuition than part-time students. Additionally, Liberty is an evangelical Christian university that believes teaching occurs most effectively when instructors and students are properly related to God and each other through Christ.",1971 University Blvd,Lynchburg,VA,24515,http://www.liberty.edu,https://www.liberty.edu/online/degrees/bachelors/,
Marketing,11,University of Mary,http://www.umary.edu/,15 to 1,6%,76%,78%,48%,65%,4.2%,"The University of Mary offers online programming that focuses on business, education, health sciences, and arts and sciences. These programs can be completed in as little as 15 months, with most online courses starting every five weeks. Online classes are delivered through the Canvas learning management system, and distance learners receive support from a personal success advisor. Programs also accept transfer credit and credit earned through work and life experiences. Students can earn either a BA or BS in marketing online at UMary. In addition to program coursework, students in their final semester must pass a senior competencies exam. UMary charges competitive per-credit tuition and offers scholarships and financial aid. Students seeking more on-campus experience can choose to blend their marketing degree online program with once-weekly evening courses at locations in Minnesota, Montana, or North Dakota.",7500 University Dr,Bismarck,ND,58504,http://www.umary.edu/,http://www.umary.edu/academics/programs/marketing-online.php,
Marketing,12,Troy University,http://www.troy.edu,15 to 1,15%,75%,44%,77%,65%,14.1%,"Troy University offers an online BS in business administration in global business with a concentration in marketing . This 120-credit degree consists of 45 credits of general education, 37 credits of core business, 18 credits of global business, 18 credits of marketing, and two credits of elective classes. The global business major teaches students about international trade and management in a global environment, while marketing classes include courses in research, services marketing, and consumer behavior. Marketing bachelor's degree online courses are generally nine weeks long and delivered through the Canvas learning management system. New students can take an introductory Canvas course to familiarize themselves with this platform. Online students can also participate in the Trojan Café, which is a virtual community space for online learners that features academic support, career services assistance, and student forums. First-time freshmen and transfer applicants should have a minimum GPA of 2.0 for unconditional admission to Troy, and freshmen applicants should also submit their standardized test scores.",University Avenue,Troy,AL,36082-0001,http://www.troy.edu,http://www.troy.edu/ugmarketing-gb/,
Marketing,13,Colorado State University-Fort Collins,http://www.colostate.edu,16 to 1,38%,85%,80%,32%,45%,4.2%,"Colorado State University’s BS in marketing is an online degree that can be customized by adding a 15-credit specialization. More than 15 specializations are available, including business administration, data management and analysis, project management, and public relations. The 120-credit online bachelor's degree in marketing consists of courses such as digital marketing, international and multicultural marketing, and product and brand management. Students also complete a marketing capstone course where they analyze a company and design long- and short-term marketing plans. CSU guarantees that tuition will never increase while a student is enrolled, and there are no student fees. Online courses are offered asynchronously throughout the year, and distance learners can enroll before any term. Applicants to bachelor’s programs should have at least 12 transferable college credits with a minimum GPA of 2.3. Students who do not meet this minimum can apply for provisional admission. The university accepts transfer credit, credit earned through exams, and credit earned through prior learning assessments.",102 Administration Building,Fort Collins,CO,80523-0100,http://www.colostate.edu,https://csuglobal.edu/undergraduate/programs/bachelors-degrees/marketing,
Marketing,14,Concordia University-Saint Paul,http://www.csp.edu,15 to 1,26%,69%,53%,31%,64%,6.2%,"Students in Concordia University-Saint Paul’s BA in marketing program learn about integrated promotional strategies, new media and social media literacy, and marketing analysis. Graduates are prepared to become effective marketing and project managers who can analyze the critical factors that drive business. This 120-credit degree includes 40 credits in the marketing major, and the entire program can be completed online. Online courses are seven weeks long and are taught asynchronously. Students pursuing an online marketing degree at Concordia receive a tuition discount relative to their on-campus peers and are guaranteed that tuition will not increase while they are enrolled. Applicants should have a minimum GPA of 2.0, and individuals who have earned less than 20 college credits need to submit their high school transcripts. Students without college experience should also submit their standardized test scores.",1282 Concordia Ave,Saint Paul,MN,55104-5494,http://www.csp.edu,http://online.csp.edu/academics/bachelor-of-arts-in-marketing,
Marketing,15,California Baptist University,http://www.calbaptist.edu,18 to 1,45%,83%,79%,32%,77%,8.1%,"California Baptist University’s online bachelor’s of science in marketing prepares students to work as marketing managers, international marketing analysts, and advertising managers. Distance learners completing this marketing degree online must finish 48 major units, and the average degree completion time is 16 months. One of CBU’s required business courses is management with biblical foundations, which integrates management principles with biblical business and administrative principles. CBU Online prefers applicants who have 24 transferable units with a minimum GPA of 2.0. After a student applies, they work with a personal admissions counselor who assists them with the application and enrollment process. This counselor also puts together an education financing plan. Online courses are offered every eight weeks, and students have access to an academic success center and career services support, which provides help with resumes, interviews, and job searches.",8432 Magnolia Ave,Riverside,CA,92504-3297,http://www.calbaptist.edu,http://www.calbaptist.edu/academics/schools-colleges/school-business/programs/bachelor-science-marketing/,
Marketing,16,University of Memphis,http://www.memphis.edu,14 to 1,12%,78%,47%,44%,62%,11.2%,"The University of Memphis offers online bachelor’s degrees in business, humanities, social science, and health professions. The bachelor’s of business administration with a concentration in marketing management is a 120-hour degree. Because the entire degree is offered online, students do not need any transferable credits to apply. Distance learners who are not Tennessee residents pay slightly more per credit hour than in-state residents, but students can reduce their overall costs by taking examinations and applying for experiential learning credits, which awards credit for life and work experiences. This online marketing bachelor's degree provides distance learners with support in the form of academic advising, technology help, and career assistance. Technology support includes aid with writing, web conferencing, and eCourseware, which is the school’s online learning management system. Most online courses are delivered asynchronously.",Southern Avenue,Memphis,TN,38152,http://www.memphis.edu,http://www.memphis.edu/uofmglobal/degrees/undergraduate/marketing-management.php,
Marketing,17,University of Wisconsin-Whitewater,http://www.uww.edu,21 to 1,30%,80%,81%,45%,63%,6.3%,"Graduates of the University of Wisconsin-Whitewater’s bachelor’s of business administration in marketing program can work as market analysts, sales managers, and internet marketers. This 120-credit degree features 18 credits in the business core and 24 credits in the marketing major, where students can choose from courses such as business-to-business marketing and direct and multichannel marketing. At least 30 credits must be completed at UW-Whitewater. Additionally, business majors must complete a minimum of 20 hours of community service. Applications for the marketing program are accepted on a rolling basis. Admission requirements stipulate GPA minimums for business majors based on prior credits earned: students with less than 24 credits need a 2.0 minimum combined GPA; students with 24 to 72 need a 2.5 minimum combined GPA; and students with more than 72 credits need a 2.8 minimum combined GPA. All online students pay the same tuition, regardless of their state of residency.",800 W Main St,Whitewater,WI,53190-1790,http://www.uww.edu,http://www.uww.edu/cobe/onlinebba/marketingmajor,
Marketing,18,City University of Seattle,http://www.cityu.edu,11 to 1,20%,80%,100%,35%,50%,6.2%,"At City University of Seattle, online bachelor’s of science in business administration students choose from 10 different areas of emphasis, including marketing. The marketing program includes coursework in e-marketing, consumer behavior, and sales and advertising. Students can complete their BSBA in as few as three years, and all courses are offered through the Blackboard learning management system. To finish this marketing bachelor's degree online, students complete 180 credits. Most courses are five credits. The curriculum consists of 90 credits of lower-division requirements and 90 credits of upper-division requirements, including 25 credits in the marketing emphasis. CityU operates on the quarter system, and applications are accepted on a rolling basis. Online programs at CityU accept both first-time freshmen and transfer students. Transfer students can receive credit for previous life and work experiences through a prior learning assessment. The university accepts up to 135 previously-earned credits. CityU is a private university in Seattle, Washington, with additional locations in seven other countries.","521 Wall Street, Suite 100",Seattle,WA,98121,http://www.cityu.edu,http://www.cityu.edu/programs-overview/bachelor-science-business-administration/,
Marketing,19,Regis University,http://www.regis.edu/,14 to 1,47%,78%,96%,20%,56%,4.9%,"Regis University is based in Denver, Colorado, but distance learners from around the country can earn the school’s BS in marketing degree entirely online. Applicants to this online bachelor's degree in marketing program must have a high school diploma, college credit from a regionally-accredited institution, and/or proof of work experience. Prospective students who do not meet all three of these requirements can submit a letter of exception that outlines the applicant’s goals and their ability to succeed in the program. The 128-credit program is offered asynchronously and includes 45 credits of core studies, 28 credits of foundation courses, 30 credits of upper-division courses, and 25 credits of electives. The 25 elective credits can be used to fulfill a 12-credit minor. Online and on-campus students pay the same per-credit tuition.",3333 Regis Blvd,Denver,CO,80221-1099,http://www.regis.edu/,http://www.regis.edu/CBE/Academics/Degrees-Programs/Undergraduate-Programs/BS-Marketing.aspx,
Marketing,20,Minot State University,http://www.minotstateu.edu,13 to 1,13%,67%,57%,76%,38%,5.4%,"Minot State University’s bachelor’s of science in marketing is offered in several different formats, including on campus in Minot, North Dakota; on campus in Bismarck, North Dakota; and entirely online through the Blackboard learning management system. This degree is one of nine undergraduate programs and three graduate programs offered online by Minot State. The 120-credit marketing program prepares students to work in the fields of public relations, advertising, or marketing. The curriculum includes 30 credits in the marketing major and 27 credits of business core requirements. Students can start the program in the fall, spring, or summer. Online marketing degree students are charged per-credit and have access to financial aid and payment plans. Services for distance learners include disability services, an online bookstore, and career services. Students can also take advantage of a writing center, academic advising, study tips, and online tutoring offered through Smarthinking.",500 University Ave W,Minot,ND,58707,http://www.minotstateu.edu,http://catalog.minotstateu.edu/undergraduate/collegeofbusiness/departmentofbusinessadministration/marketing/#text,
Marketing,21,Northern Illinois University,http://www.niu.edu,15 to 1,28%,71%,50%,25%,67%,8.9%,"Online students at Northern Illinois University can access a range of student services, including customized career counseling and job search support, off-campus networking events, and an online academic advisor. The school’s bachelor’s of science in marketing offers upper-division courses entirely online; between 69 and 77 credits are required for this major. Students in this program complete their electives by taking additional marketing courses or by choosing a specific area of study. Areas of study require between nine and 12 credits and are available in interactive marketing, international marketing, and professional sales. Students interested in this online marketing bachelor's degree must complete NIU’s business core courses before enrolling in upper-level marketing coursework. Alternatively, these requirements can be met by transferring in lower-division coursework from another institution. Transfer students can transfer up to 66 credits, and applicants should have a minimum GPA of 2.0.",1425 W. Lincoln Hwy.,Dekalb,IL,60115-2828,http://www.niu.edu,http://www.cob.niu.edu/departments/marketing/bachelor-of-science-online/index.shtml,
Marketing,22,University of Wisconsin-Stout,http://www.uwstout.edu,20 to 1,18%,76%,90%,52%,63%,4%,"Graduates of the University of Wisconsin-Stout’s bachelor’s of science degree in digital marketing technology find work in the fields of marketing communications, web development, social media, or e-commerce. 120 credits, consisting of 40 to 41 general education credits and 78 to 81 major credits, are required for graduation. The major curriculum is broken down into two parts: a professional management core and a professional technology core. Program courses include web production and distribution, search engine optimization, and dynamic web technologies. Online students have access to tutoring through Brainfuse, which is integrated into the learning management system at UW-Stout. Brainfuse offers live tutoring in areas such as accounting, computers and technology, math, and writing. Students interested in pursuing this marketing degree online can apply as either first-time freshmen or transfer students. Transfer applicants should submit an online application, application fee, and transcripts; required transcripts include both college and high school transcripts, unless the applicant has already completed a bachelor’s degree. Applicants with a minimum GPA of 2.0 are given priority.",712 S. Broadway St.,Menomonie,WI,54751,http://www.uwstout.edu,http://www.uwstout.edu/programs/bsdmt/,
Marketing,23,Kennesaw State University,http://www.kennesaw.edu,17 to 1,14%,79%,53%,60%,55%,9.4%,"Kennesaw State University offers an online bachelor’s of business administration in three tracks: information security and assurance, management, and marketing. The BBA in marketing is a 123-credit degree delivered asynchronously through Brightspace, which is hosted by the D2L learning management system. Courses run on a traditional semester schedule, with 16-week semesters in the fall and spring and an eight-week term in the summer. Online student resources include access to the library, technology services, academic tutoring, and the writing center. The writing center offers both synchronous instruction, where students chat with writing assistants in real time, and asynchronous sessions, where students upload assignments and receive feedback. Online marketing degree students pay e-tuition, which is the same for all distance learners, regardless of their state of residency. Online students can also apply for the same financial aid resources available to on-campus students, including loans, grants, scholarships, and work study.",1000 Chastain Rd,Kennesaw,GA,30144,http://www.kennesaw.edu,http://catalog.kennesaw.edu/preview_program.php?catoid=29&poid=3402&returnto=2354,
Marketing,24,Franklin Pierce University,http://www.franklinpierce.edu,12 to 1,41%,67%,84%,14%,89%,7.4%,"Franklin Pierce University, located in New Hampshire, offers online associate and bachelor’s degrees as well as certificate programs. The school’s BS in marketing consists of general, liberal arts, core business, and marketing courses. Requirements for this online bachelor's degree in marketing include coursework in electronic commerce and marketing management for a green economy. The university has six academic terms per year, including two summer terms. Online courses are delivered through the Canvas learning management system. Distance learners have access to IT help, a writing center, outreach counseling, and academic and career services. All undergraduate students in the graduate and professional studies college are charged the same per-credit tuition rate. Franklin Pierce also accepts transfer credits and awards credits based on knowledge gained through prior work and life experiences.",40 University Drive,Rindge,NH,03461-0060,http://www.franklinpierce.edu,https://www.franklinpierce.edu/academics/ugrad_adult/programs_of_study/marketing.htm,
Marketing,25,Davenport University,http://www.davenport.edu,14 to 1,28%,73%,93%,40%,71%,11.8%,"The bachelor’s of business administration in marketing at Davenport University includes courses in both business and technology. This program can be completed online or on-campus and allows students to customize their major by choosing an optional specialization in digital marketing and advertising, value chain, or marketing technology. Each specialization consists of six courses. Graduates are prepared to manage information using digital technologies and develop strategies that leverage and integrate information into marketing plans. Davenport’s curriculum also lets marketing students earn various certifications by completing certain coursework; for example, students can earn HubSpot certifications in professional selling and digital marketing. Additionally, digital retailing and digital brand engagement courses let students earn a Google certificate in these areas. This online bachelor's degree in marketing is delivered asynchronously through the Blackboard learning management system.",6191 Kraft Avenue S.E.,Grand Rapids,MI,49512-9396,http://www.davenport.edu,http://www.davenport.edu/programs/business/bachelors-degree/marketing-bba,
MBA,1,Johns Hopkins University,http://www.jhu.edu,9 to 1,92%,97%,16%,37%,39%,1.8%,"The business school at Johns Hopkins University offers a flexible, part-time online MBA program designed for working professionals; the average student in this program has 9.4 years of full-time work experience. Online learners pursuing this MBA online degree can customize the program to fit their individuals needs by choosing to complete the program entirely online or in a hybrid format. However, some business communication, negotiation, and leadership in organizations courses require in-person residencies at the Baltimore campus for one to three days. Courses are offered in eight-week terms, mostly asynchronously, with a few required synchronous real-time activities. Students can opt for specializations in financial business, healthcare management, or leading organizations. Consisting of 54 credits, most students complete this program in 2.5 years. With a large network of alumni and highly respected professionals, graduates of this program gain connections in multiple industries including financial services, the government, technology, and healthcare.",3400 N Charles St,Baltimore,MD,21218-2688,http://www.jhu.edu,http://carey.jhu.edu/academics/master-of-business-administration/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852361/logos/johns-hopkins-university.png"
MBA,2,University of North Carolina at Chapel Hill,http://www.unc.edu,13 to 1,89%,97%,28%,44%,32%,1.6%,"The University of North Carolina at Chapel Hill offers one of the best online MBA programs in the nation. With an average of 10.3 years of work experience, online learners in this rigorous program hail from more than 16 countries. Students at MBA@UNC can specialize in investment management and sustainable enterprise corporate finance, marketing, data analysis and decision making, management consulting, or entrepreneurship. UNC offers its MBA candidates the opportunity to participate in a global immersion program each quarter, where individuals spend a weekend in various cities around the world. This online MBA consists of 66 credits and can be completed in 18 to 36 months. Courses are offered through UNC's online learning platform, 2NC, where students have 24/7 access to coursework and materials, as well as a mobile app. Courses are offered synchronously with live classroom settings and interactive activities. Applications for admissions are accepted on a rolling basis, and admitted students can begin in January, April, July, or October.",103 South Bldg Cb 9100,Chapel Hill,NC,27599,http://www.unc.edu,http://www.kenan-flagler.unc.edu/admissions/online-mba,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475854230/logos/university-of-north-carolina-at-chapel-hill.png"
MBA,3,Lehigh University,http://www.lehigh.edu,10 to 1,88%,96%,34%,32%,44%,1.4%,"Located in Bethlehem, Pennsylvania, Lehigh University's college of business and economics offers a one-year, full-time, flexible online MBA designed for experienced professionals. This 36-credit online MBA degree begins with a mandatory, on-campus weekend orientation. At the end of the program, students complete a three-credit final capstone project, in which they participate in case discussions and a simulation. Prerequisites for the program include financial accounting, statistics, and principles of economics. Lehigh MBA students typically have an average GPA of 3.4 and eight years of work experience. Applicants must have at least two years of work experience; however, this does not necessarily have to be in a business-related function. GMAT/GRE scores may be waived if applicants have 10 years of full-time professional experience or a master’s degree with six years of full-time professional experience.",27 Memorial Drive West,Bethlehem,PA,18015,http://www.lehigh.edu,http://cbe.lehigh.edu/mba,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852410/logos/lehigh-university.png"
MBA,4,Carnegie Mellon University,http://www.cmu.edu/,10 to 1,87%,96%,24%,30%,38%,1.1%,"Carnegie Mellon offers a part-time online MBA designed for working professionals. The curriculum of this program focuses on strategic analytics and leadership development, and students receive leadership and communication coaching throughout the duration of the program. Classes include managerial economics, managing networks and organizations, corporate strategy, and interpersonal communication. Students also complete a capstone project in their second year of study. Online students participate in both synchronous, interactive sessions and asynchronous, self-paced coursework. Distance learners also attend ""access weekends,"" which are held every two months for a total of six weekends each year; these provide ample opportunities for networking. Students typically earn their degrees in three years. This program’s low one-to-five student-to-teacher ratio sets it apart from many other schools and allows for increased attention from faculty. Online learners also receive recruiting support through a partnership with the Accelerate Leadership Center. Admitted students begin classes in September.",5000 Forbes Avenue,Pittsburgh,PA,15213-3890,http://www.cmu.edu/,http://tepper.cmu.edu/prospective-students/masters/mba,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475851681/logos/carnegie-mellon-university.png"
MBA,5,New York University,http://www.nyu.edu,10 to 1,83%,92%,35%,32%,41%,3%,"New York University’s school of business offers an executive-friendly, blended MBA program. Providing a collaborative learning environment and global experiences, students in NYU’s TRIUM MBA program participate in six modules over the course of 17 months. Within each module, students complete 1.5 to two weeks on site at varying locations, including in London, California, Paris, New York, and Shanghai. Modules cover topics such as the global political economy, technological disruption, entrepreneurship, marketing, and finance. Throughout the duration of the program, students participate in leadership development activities in the form of self-assessments, group work, and guest lectures. To graduate, online learners must complete the TRIUM capstone project, where they develop a business idea from inception to launch. Students in this online MBA degree program are an average of 40 years old and have 15 years of professional work experience. NYC partners with the London School of Economics and Political Science and the HEC Paris School of Management to host this program.",70 Washington Sq South,New York,NY,10012-1091,http://www.nyu.edu,http://www.triumemba.org/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475853886/logos/new-york-university.png"
